extracted_at,timestamp,latitide,longitude,timezone,elevation,temperature_c
2026-04-26 15:09:42,2026-04-28T20:00,16.555359,121.48714,GMT,242.0,23.0
2026-04-26 15:09:42,2026-04-28T21:00,16.555359,121.48714,GMT,242.0,22.8
2026-04-26 15:09:42,2026-04-28T22:00,16.555359,121.48714,GMT,242.0,23.1
2026-04-26 15:09:42,2026-04-28T23:00,16.555359,121.48714,GMT,242.0,25.1
2026-04-26 15:09:42,2026-04-29T00:00,16.555359,121.48714,GMT,242.0,26.9
2026-04-26 15:09:42,2026-04-29T01:00,16.555359,121.48714,GMT,242.0,28.4
2026-04-26 15:09:42,2026-04-29T02:00,16.555359,121.48714,GMT,242.0,29.9
2026-04-26 15:09:42,2026-04-29T03:00,16.555359,121.48714,GMT,242.0,31.1
2026-04-26 15:09:42,2026-04-29T04:00,16.555359,121.48714,GMT,242.0,32.2
2026-04-26 15:09:42,2026-04-29T05:00,16.555359,121.48714,GMT,242.0,32.9
2026-04-26 15:09:42,2026-04-29T06:00,16.555359,121.48714,GMT,242.0,33.1
2026-04-26 15:09:42,2026-04-29T07:00,16.555359,121.48714,GMT,242.0,33.3
2026-04-26 15:09:42,2026-04-29T08:00,16.555359,121.48714,GMT,242.0,32.4
2026-04-26 15:09:42,2026-04-29T09:00,16.555359,121.48714,GMT,242.0,31.8
2026-04-26 15:09:42,2026-04-29T10:00,16.555359,121.48714,GMT,242.0,30.1
2026-04-26 15:09:42,2026-04-29T11:00,16.555359,121.48714,GMT,242.0,28.5
2026-04-26 15:09:42,2026-04-29T12:00,16.555359,121.48714,GMT,242.0,27.5
2026-04-26 15:09:42,2026-04-29T13:00,16.555359,121.48714,GMT,242.0,26.0
2026-04-26 15:09:42,2026-04-29T14:00,16.555359,121.48714,GMT,242.0,25.0
2026-04-26 15:09:42,2026-04-29T15:00,16.555359,121.48714,GMT,242.0,24.5
2026-04-26 15:09:42,2026-04-29T16:00,16.555359,121.48714,GMT,242.0,24.3
2026-04-26 15:09:42,2026-04-29T17:00,16.555359,121.48714,GMT,242.0,24.1
2026-04-26 15:09:42,2026-04-29T18:00,16.555359,121.48714,GMT,242.0,24.0
2026-04-26 15:09:42,2026-04-29T19:00,16.555359,121.48714,GMT,242.0,23.8
2026-04-26 15:09:42,2026-04-29T20:00,16.555359,121.48714,GMT,242.0,23.8
2026-04-26 15:09:42,2026-04-29T21:00,16.555359,121.48714,GMT,242.0,24.0
2026-04-26 15:09:42,2026-04-29T22:00,16.555359,121.48714,GMT,242.0,24.7
2026-04-26 15:09:42,2026-04-29T23:00,16.555359,121.48714,GMT,242.0,25.8
2026-04-26 15:09:42,2026-04-30T00:00,16.555359,121.48714,GMT,242.0,26.9
2026-04-26 15:09:42,2026-04-30T01:00,16.555359,121.48714,GMT,242.0,28.0
2026-04-26 15:09:42,2026-04-30T02:00,16.555359,121.48714,GMT,242.0,29.2
2026-04-26 15:09:42,2026-04-30T03:00,16.555359,121.48714,GMT,242.0,30.4
2026-04-26 15:09:42,2026-04-30T04:00,16.555359,121.48714,GMT,242.0,31.6
2026-04-26 15:09:42,2026-04-30T05:00,16.555359,121.48714,GMT,242.0,32.8
2026-04-26 15:09:42,2026-04-30T06:00,16.555359,121.48714,GMT,242.0,33.2
2026-04-26 15:09:42,2026-04-30T07:00,16.555359,121.48714,GMT,242.0,32.3
